DisputeStage,DisputeStatus,DisputeId,DueDate,ReasonCategory,DisputeTime,ReasonCode,ChargebackTxnAmount,MerchantUserId,TransactionChannel,CardType,TransactionTime,ChargebackAmount,ChargebackTxnCurrency,ReasonMsg,RefundPayType,WinRate,ARN,CardScheme,CardNumberMasked,CardBIN,CardFundingType,IssuerName,IssuerCountry,NetworkReasonCode,ChargebackReceivedDate,ChargebackCaseRef,RepresentmentDeadline,IsSecondPresentment,ProcessorName,AcquirerName,AcquirerMID,PaymentTransactionId,PspReferenceId,AuthorizationCode,PaymentMethod,TransactionAmount,TransactionCurrency,TransactionStatus,SettlementDate,AvsResult,CvvResult,ThreeDSStatus,ThreeDSLiabilityShift,DeviceIp,DeviceType,RefundIssued,RefundAmount,RefundDate,OrderId,OrderDate,ProductName,ProductCategory,Sku,Quantity,UnitPrice,OrderTotalAmount,OrderCurrency,OrderStatus,DeliveryStatus,ShippingCarrier,TrackingNumber,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ProofOfDelivery,DeliverySignedBy,DeliveryAddressLine1,DeliveryCity,DeliveryState,DeliveryPostalCode,DeliveryCountry,BillingShippingMatch,UserId,UserFullName,UserEmail,UserPhone,AccountCreatedDate,KycVerified,AccountStatus,TotalOrdersLifetime,TotalSpendLifetime,AvgOrderValue,LastOrderId,LastOrderDate,PreviousChargebackCount,PreviousChargebacksWon,DisputeRatePct,CustomerRiskTier,CaseOutcome,OutcomeDate
PRE_ARB,NEED_RESPONSE,kmgjdshoiwer8795,2026-07-30 00:00:00,authorization,2026-06-11 09:41:37,C05,19,7665434528917652409,Ahjkoiywebkbmxiykjsdfskjdhfsj,VISA,2026-06-18T07:22:36Z,60.22,NGN,Recurring payment cancelled,RefundToCredit,0.0021,67980793597820715182037,Visa,499277XXXXXX6295,499277,Debit,Barclays,NG,C05,2026-06-11,CBK-2026-200020,2026-07-30 00:00:00,No,Nuvei,Nuvei Corporation,MID490732457,TXN-20260618-60043345,CKO548340540254,912085,Card - Recurring,19,NGN,Captured,2026-06-21,A - Address Only,M - Match,Y - Authenticated,Yes,95.48.197.73,Desktop Web,Yes,19,2026-06-12,ORD-202606-100145,2026-06-18 06:02:36,Air Fryer 5L,Home & Kitchen,HNK-3463-BLU,1,19,19,NGN,Completed,Delivered,FedEx,UP7278136169,2026-06-19,2026-06-21,2026-06-20,Yes - Photo,N/A,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652409,Daniel Miller,daniel.miller@mail.com,+234725711790,2022-11-03,Yes,Active,20,5157.6,257.88,ORD-202602-425301,2026-02-01,1,1,5,Medium,Decision Pending,
PRE_ARB,NEED_RESPONSE,Agysjdkfshjdwewuier234987,2026-07-31 00:00:00,processing,2026-06-11 20:46:22,21,15,7665434528917652410,Ahjsgfskjaksldwuleurhjhjdhfsj,MASTERCARD,2026-07-02T06:39:39Z,12.08,IDR,Processing error,"OriginalRefund, RefundToCredit",0.002,88805929622292706537947,Mastercard,526901XXXXXX2388,526901,Credit,Barclays,US,21,2026-06-11,CBK-2026-200021,2026-07-31 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID432288618,TXN-20260702-72950208,STR844609207085,698128,Card - Wallet Token,15,IDR,Settled,2026-07-04,N - No Match,P - Not Processed,Y - Authenticated,Yes,52.102.70.224,Desktop Web,Yes,15,2026-06-13,ORD-202607-100150,2026-07-02 06:28:39,Stainless Steel Cookware Set,Home & Kitchen,HNK-1854-RED,2,7.5,15,IDR,Completed,Delivered,Aramex,FX5085241101,2026-07-04,2026-07-09,2026-07-09,Yes - Signature,Rahul Santoso,2200 Post Oak Blvd,Houston,TX,77056,US,Yes,7665434528917652410,Rahul Santoso,rahul.santoso@gmail.com,+1695433590,2022-10-18,Yes,Under Review,43,6198.02,144.14,ORD-202605-992512,2026-05-16,0,0,0,Low,Won,2026-06-28
PRE_ARB,NEED_RESPONSE,65jkhhdsfhsweriu5,2026-08-01 00:00:00,fraud,2026-06-12 20:46:25,193,13.24,7665434528917652411,Ahjkoiywebkbmxiykjsdfskjdhfsj,KLARNA,2026-07-02T23:58:14Z,31.64,USD,Merchandise,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0023,51522047277901043289861,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,ID,193,2026-06-12,CBK-2026-200022,2026-08-01 00:00:00,No,Stripe,Wells Fargo Bank N.A.,MID355164255,TXN-20260702-50419829,ADY362198087367,540218,BNPL,13.24,USD,Settled,2026-07-03,Y - Full Match,P - Not Processed,A - Attempted,No,163.8.123.184,Android App,Yes,13.24,2026-06-13,ORD-202607-100156,2026-07-02 23:09:14,Stainless Steel Cookware Set,Home & Kitchen,HNK-5772-RED,1,13.24,13.24,USD,Completed,Delivered,J&T Express,DH2781968664,2026-07-04,2026-07-10,2026-07-09,Yes - Signature,Michael Lestari,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652411,Michael Lestari,michael.lestari@yahoo.com,+62760146764,2023-12-20,Yes,Active,6,1821.96,303.66,ORD-202606-698384,2026-06-04,0,0,0,Low,Lost,2026-06-27
PRE_ARB,NEED_RESPONSE,63jhkdsawuieyj9,2026-08-02 00:00:00,others,2026-06-13 20:46:28,P23,12.98,7665434528917652412,Ahjsgfskjaksldwuleurhjhjdhfsj,AMEX,2026-07-06T16:42:25Z,20.36,NGN,Unauthorized,"RefundToCredit, OriginalRefund",0.0019,85277221704303054868740,American Express,342402XXXXX9576,342402,Prepaid,Citibank,NG,P23,2026-06-13,CBK-2026-200023,2026-08-02 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID483298103,TXN-20260706-16416148,CKO234317442585,938171,Card - Recurring,12.98,NGN,Settled,2026-07-08,N - No Match,P - Not Processed,A - Attempted,No,97.95.254.178,Mobile Web,Yes,12.98,2026-06-16,ORD-202607-100162,2026-07-06 16:23:25,Robot Vacuum Cleaner,Home & Kitchen,HNK-7018-GRY,1,12.98,12.98,NGN,Completed,Delivered,DHL Express,UP4386667704,2026-07-08,2026-07-11,2026-07-11,Yes - OTP Confirmed,N/A,"12 Awolowo Road, Ikoyi",Lagos,Lagos,101233,NG,Yes,7665434528917652412,Olivia Sharma,olivia.sharma@mail.com,+234960226208,2023-10-18,Yes,Suspended,3,626.64,208.88,ORD-202603-182760,2026-03-14,3,2,100,High,Decision Pending,
PRE_ARB,NEED_RESPONSE,h5yiulkkas23485,2026-08-03 00:00:00,merchandise,2026-06-10 09:41:37,4555,114.7,7665434528917652413,Ahjkoiywebkbmxiykjsdfskjdhfsj,DISCOVER,2026-07-03T04:02:35Z,7.54,IDR,Duplicate payment,OriginalRefund,0.0052,65820297021355690927557,Discover,601187XXXXXX3956,601187,Credit,DBS Bank,US,4555,2026-06-10,CBK-2026-200024,2026-08-03 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID668503222,TXN-20260703-59251188,WLP814314846322,392227,Card - Ecom,114.7,IDR,Captured,2026-07-04,Z - Zip Only,P - Not Processed,Y - Authenticated,Yes,143.198.60.68,Desktop Web,Yes,114.7,2026-06-13,ORD-202607-100169,2026-07-03 02:39:35,Mechanical Keyboard,Electronics,ELC-8311-WHT,1,114.7,114.7,IDR,Completed,Delivered,UPS,BD6804850108,2026-07-04,2026-07-11,2026-07-10,Yes - OTP Confirmed,N/A,"55 Water Street, Floor 9",New York,NY,10041,US,Yes,7665434528917652413,Sofia Okafor,sofia.okafor@outlook.com,+1845156039,2022-09-19,No,Active,19,2061.12,108.48,ORD-202605-228594,2026-05-21,1,1,5.26,Medium,Decision Pending,
PRE_ARB,NEED_RESPONSE,viosdyui6890wek6,2026-08-04 00:00:00,authorization,2026-06-10 20:46:22,4541,24.44,7665434528917652414,Ahjsgfskjaksldwuleurhjhjdhfsj,VISA,2026-06-23T05:43:59Z,46.03,USD,Paid by Other means,<UNSET>,0.0027,58957829114678669125177,Visa,419706XXXXXX8406,419706,Prepaid,Barclays,NG,4541,2026-06-10,CBK-2026-200025,2026-08-04 00:00:00,No,Checkout.com,Checkout Ltd,MID237798236,TXN-20260623-83994695,BRT942595115734,235300,Card - Wallet Token,24.44,USD,Captured,2026-06-24,Z - Zip Only,N - No Match,Y - Authenticated,Yes,53.82.165.240,Android App,No,0,,ORD-202606-100179,2026-06-23 05:11:59,Running Shoes,Footwear,FTW-6669-GRY,3,8.15,24.44,USD,Completed,Delivered,UPS,FX8703867299,2026-06-26,2026-06-29,2026-06-29,Yes - Signature,Daniel Brown,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652414,Daniel Brown,daniel.brown@outlook.com,+234184675178,2022-06-01,Yes,Active,5,913.75,182.75,ORD-202606-765905,2026-06-03,0,0,0,Low,Decision Pending,
CB,NEED_RESPONSE,kmgjdshoiwer8796,2026-08-05 00:00:00,processing,2026-06-10 20:46:25,4553,20.8,7665434528917652415,Ahjkoiywebkbmxiykjsdfskjdhfsj,MASTERCARD,2026-06-29T19:04:08Z,16.68,NGN,Other,RefundToCredit,0.0077,07844736471027677359255,Mastercard,526406XXXXXX5961,526406,Prepaid,Guaranty Trust Bank,ID,4553,2026-06-10,CBK-2026-200026,2026-08-05 00:00:00,Yes,Braintree,PayPal Braintree,MID240409084,TXN-20260629-59733063,BRT218376390592,434617,Card - Ecom,20.8,NGN,Settled,2026-06-30,A - Address Only,P - Not Processed,Y - Authenticated,Yes,74.72.49.13,Desktop Web,Yes,20.8,2026-06-15,ORD-202606-100187,2026-06-29 18:09:08,Adjustable Dumbbell Set,Sports,SPT-7293-GRY,2,10.4,20.8,NGN,Completed,Delivered,DHL Express,DH1348849508,2026-07-02,2026-07-08,2026-07-07,Yes - OTP Confirmed,N/A,Jl. Gatot Subroto Kav 21,Jakarta,DKI Jakarta,12930,ID,No,7665434528917652415,James Wijaya,james.wijaya@yahoo.com,+62366578178,2025-06-14,Yes,Active,43,8835.21,205.47,ORD-202512-705748,2025-12-28,3,2,6.98,High,Won,2026-07-08
CB,NEED_RESPONSE,Agysjdkfshjdwewuier234988,2026-08-06 00:00:00,fraud,2026-06-10 20:46:28,24,85.59,7665434528917652416,Ahjsgfskjaksldwuleurhjhjdhfsj,KLARNA,2026-06-21T01:41:15Z,26.88,IDR,Inquiry - ACHReturn,"OriginalRefund, RefundToCredit",0.0117,16245650609835841687849,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,NG,24,2026-06-10,CBK-2026-200027,2026-08-06 00:00:00,No,Cybersource,Chase Paymentech,MID238151258,TXN-20260621-22976369,WLP973481235730,455556,BNPL,85.59,IDR,Captured,2026-06-22,Z - Zip Only,P - Not Processed,N - Not Authenticated,No,139.20.23.10,Android App,Yes,85.59,2026-06-14,ORD-202606-100194,2026-06-21 01:03:15,Leather Sneakers,Footwear,FTW-6456-RED,1,85.59,85.59,IDR,Completed,Delivered,Blue Dart,FX7800411181,2026-06-22,2026-06-24,2026-06-23,Yes - Photo,N/A,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,No,7665434528917652416,James Lestari,james.lestari@mail.com,+234259923818,2024-08-29,Yes,Active,32,706.24,22.07,ORD-202606-742848,2026-06-07,3,3,9.38,High,Decision Pending,
CB,NEED_RESPONSE,65jkhhdsfhsweriu6,2026-08-07 00:00:00,others,2026-06-11 09:41:37,C14,61.47,7665434528917652417,Ahjkoiywebkbmxiykjsdfskjdhfsj,AMEX,2026-06-28T23:42:35Z,14.16,USD,No Authorization,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0078,96230913075626368970283,American Express,347438XXXXX5902,347438,Prepaid,Guaranty Trust Bank,NG,C14,2026-06-11,CBK-2026-200028,2026-08-07 00:00:00,Yes,Cybersource,Chase Paymentech,MID664226794,TXN-20260628-60576565,CKO293087493940,581992,Card - Recurring,61.47,USD,Captured,2026-07-01,A - Address Only,P - Not Processed,Y - Authenticated,Yes,60.126.142.143,Desktop Web,Yes,61.47,2026-06-16,ORD-202606-100198,2026-06-28 22:39:35,Yoga Mat Pro,Sports,SPT-4684-BLU,1,61.47,61.47,USD,Completed,Delivered,DPD,UP9704383251,2026-06-30,2026-07-04,2026-07-04,Yes - OTP Confirmed,N/A,"12 Awolowo Road, Ikoyi",Lagos,Lagos,101233,NG,Yes,7665434528917652417,James Miller,james.miller@outlook.com,+234856881618,2023-09-30,Yes,Suspended,53,1063.71,20.07,ORD-202601-432441,2026-01-27,0,0,0,Low,Lost,2026-06-18
CB,NEED_RESPONSE,63jhkdsawuieyj10,2026-08-08 00:00:00,merchandise,2026-06-11 20:46:22,155,24.99,7665434528917652418,Ahjsgfskjaksldwuleurhjhjdhfsj,DISCOVER,2026-06-18T14:30:18Z,286.95,NGN,Damaged and/or Defective Goods/Services,"RefundToCredit, OriginalRefund",0.0034,42199330833016571208267,Discover,601154XXXXXX5480,601154,Debit,Citibank,NG,155,2026-06-11,CBK-2026-200029,2026-08-08 00:00:00,No,Nuvei,Nuvei Corporation,MID444851196,TXN-20260618-48307798,ADY945713149539,193806,Card - Ecom,24.99,NGN,Captured,2026-06-19,N - No Match,M - Match,Y - Authenticated,Yes,20.203.253.48,Desktop Web,Yes,24.99,2026-06-16,ORD-202606-100208,2026-06-18 13:54:18,Stainless Steel Cookware Set,Home & Kitchen,HNK-1613-BLK,1,24.99,24.99,NGN,Completed,Delivered,FedEx,UP9263558455,2026-06-21,2026-06-25,2026-06-24,Yes - Signature,Olivia Ibrahim,"7 Aminu Kano Crescent, Wuse II",Abuja,FCT,900288,NG,Yes,7665434528917652418,Olivia Ibrahim,olivia.ibrahim@mail.com,+234709844411,2024-06-12,Yes,Active,50,13020.5,260.41,ORD-202512-398384,2025-12-14,0,0,0,Low,Won,2026-06-22
CB,NEED_RESPONSE,h5yiulkkas23486,2026-08-09 00:00:00,authorization,2026-06-12 20:46:25,127,162.18,7665434528917652419,Ahjkoiywebkbmxiykjsdfskjdhfsj,VISA,2026-05-01T23:50:35Z,691.28,IDR,Mismatch of requested and received goods.,OriginalRefund,0.0022,54932966851612275304637,Visa,494058XXXXXX9901,494058,Debit,Guaranty Trust Bank,ID,127,2026-06-12,CBK-2026-200030,2026-08-09 00:00:00,No,Nuvei,Nuvei Corporation,MID725412469,TXN-20260501-86890296,ADY818382900665,477017,Card - Ecom,162.18,IDR,Captured,2026-05-04,Y - Full Match,P - Not Processed,A - Attempted,No,89.81.207.176,Desktop Web,Yes,162.18,2026-06-15,ORD-202605-100211,2026-05-01 23:25:35,Mobile Game Coin Pack,Digital Goods,DIG-2923-BLU,2,81.09,162.18,IDR,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-05-01,2026-05-01,2026-05-01,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),ID,N/A,7665434528917652419,James Lestari,james.lestari@outlook.com,+62494647257,2025-03-03,Yes,Active,52,2566.72,49.36,ORD-202512-240057,2025-12-05,0,0,0,Low,Decision Pending,
BC,NEED_RESPONSE,viosdyui6890wek7,2026-08-10 00:00:00,processing,2026-06-13 20:46:28,FR2,325.94,7665434528917652420,Ahjsgfskjaksldwuleurhjhjdhfsj,MASTERCARD,2026-06-04T22:32:58Z,55.43,USD,Goods and Services Not Received,<UNSET>,0.0051,82258713971870728679087,Mastercard,530078XXXXXX8454,530078,Prepaid,Capital One,US,FR2,2026-06-13,CBK-2026-200031,2026-08-10 00:00:00,No,Nuvei,Nuvei Corporation,MID525146690,TXN-20260604-44152669,ADY339426407161,706403,Card - Ecom,325.94,USD,Captured,2026-06-06,A - Address Only,M - Match,A - Attempted,No,149.30.35.253,Mobile Web,No,0,,ORD-202606-100219,2026-06-04 21:26:58,Adjustable Dumbbell Set,Sports,SPT-1519-BLU,1,325.94,325.94,USD,Under Investigation,Returned To Origin,GIG Logistics,UP3423086220,2026-06-05,2026-06-14,,No,N/A,2200 Post Oak Blvd,Houston,TX,77056,US,Yes,7665434528917652420,Olivia Miller,olivia.miller@yahoo.com,+1925677464,2024-12-15,Yes,Suspended,44,10788.8,245.2,ORD-202601-492650,2026-01-17,3,0,6.82,High,Won,2026-07-10
BC,NEED_RESPONSE,kmgjdshoiwer8797,2026-08-11 00:00:00,fraud,2026-06-10 09:41:37,6041,365,7665434528917652421,Ahjkoiywebkbmxiykjsdfskjdhfsj,KLARNA,2026-06-04T23:40:58Z,42.14,NGN,Goods Returned/Canceled,RefundToCredit,0.0009,78686337524310690331190,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,US,6041,2026-06-10,CBK-2026-200032,2026-08-11 00:00:00,Yes,PayU,PayU Payments Pvt Ltd,MID741866641,TXN-20260604-16533225,STR150425239978,521805,BNPL,365,NGN,Settled,2026-06-05,Z - Zip Only,M - Match,N - Not Authenticated,No,46.148.119.209,Desktop Web,Yes,365,2026-06-12,ORD-202606-100225,2026-06-04 23:38:58,Annual Streaming Subscription,Digital Goods,DIG-6253-WHT,2,182.5,365,NGN,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-06-04,2026-06-04,2026-06-04,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),US,N/A,7665434528917652421,Daniel Santoso,daniel.santoso@outlook.com,+1424017094,2025-09-05,Yes,Under Review,12,3813.84,317.82,ORD-202603-331780,2026-03-25,0,0,0,Low,Won,2026-07-20
BC,NEED_RESPONSE,Agysjdkfshjdwewuier234989,2026-08-12 00:00:00,others,2026-06-10 20:46:22,6042,29.86,7665434528917652422,Ahjsgfskjaksldwuleurhjhjdhfsj,AMEX,2026-06-04T22:35:19Z,57.48,IDR,CAPTURE_AMOUNT_INCORRECT,"OriginalRefund, RefundToCredit",0.0085,86688263435175183046990,American Express,375508XXXXX1998,375508,Credit,Citibank,SG,6042,2026-06-10,CBK-2026-200033,2026-08-12 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID614745610,TXN-20260604-38036618,CKO116789002083,322096,Card - Ecom,29.86,IDR,Captured,2026-06-07,N - No Match,M - Match,Y - Authenticated,Yes,189.104.203.235,Android App,Yes,29.86,2026-06-13,ORD-202606-100235,2026-06-04 22:15:19,Mechanical Keyboard,Electronics,ELC-6269-BLU,2,14.93,29.86,IDR,Completed,Delivered,DPD,BD5935852056,2026-06-06,2026-06-09,2026-06-08,Yes - Signature,Amara Kumar,"34 Orchard Road, #08-12",Singapore,Central,238867,SG,No,7665434528917652422,Amara Kumar,amara.kumar@mail.com,+65600632621,2026-01-29,Yes,Active,23,6950.14,302.18,ORD-202605-374267,2026-05-26,1,1,4.35,Medium,Decision Pending,
PRE_ARB,NEED_RESPONSE,65jkhhdsfhsweriu7,2026-08-13 00:00:00,merchandise,2026-06-10 20:46:25,10.4,36.3,7665434528917652423,Ahjkoiywebkbmxiykjsdfskjdhfsj,DISCOVER,2026-03-22T01:55:13Z,43.22,USD,RETURN_NOT_REFUNDED,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0066,99642353693785477725228,Discover,601175XXXXXX9147,601175,Debit,Chase Bank,SG,10.4,2026-06-10,CBK-2026-200034,2026-08-13 00:00:00,No,Cybersource,Chase Paymentech,MID662581035,TXN-20260322-14539747,ADY154409571483,901467,Card - Ecom,36.3,USD,Settled,2026-03-23,Z - Zip Only,M - Match,A - Attempted,No,192.77.4.56,Mobile Web,Yes,36.3,2026-06-12,ORD-202603-100241,2026-03-22 01:51:13,Annual Streaming Subscription,Digital Goods,DIG-7114-BLK,1,36.3,36.3,USD,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-03-22,2026-03-22,2026-03-22,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),SG,N/A,7665434528917652423,Dewi Brown,dewi.brown@yahoo.com,+65763395529,2024-01-23,No,Suspended,21,2966.25,141.25,ORD-202601-116495,2026-01-19,1,0,4.76,Medium,Won,2026-06-30
PRE_ARB,NEED_RESPONSE,63jhkdsawuieyj11,2026-08-14 00:00:00,authorization,2026-06-10 20:46:28,Not as described,46.44,7665434528917652424,Ahjsgfskjaksldwuleurhjhjdhfsj,VISA,2026-06-30T21:10:04Z,59.48,NGN,The user reported that he/she received a faulty good,"RefundToCredit, OriginalRefund",0.0041,79334101666870021765918,Visa,479758XXXXXX7739,479758,Credit,Citibank,NG,Not as described,2026-06-10,CBK-2026-200035,2026-08-14 00:00:00,No,Adyen,Adyen N.V.,MID843338269,TXN-20260630-86072480,WLP148408984648,177959,Card - Recurring,46.44,NGN,Captured,2026-07-01,A - Address Only,M - Match,Y - Authenticated,Yes,64.73.203.238,iOS App,Yes,46.44,2026-06-14,ORD-202606-100248,2026-06-30 20:58:04,Wireless Noise-Cancelling Headphones,Electronics,ELC-5903-WHT,1,46.44,46.44,NGN,Completed,Delivered,FedEx,DH3252218154,2026-07-01,2026-07-04,2026-07-03,Yes - Photo,N/A,"12 Awolowo Road, Ikoyi",Lagos,Lagos,101233,NG,Yes,7665434528917652424,Michael Nakamura,michael.nakamura@gmail.com,+234708485104,2023-08-07,No,Under Review,53,12076.05,227.85,ORD-202602-447843,2026-02-26,1,0,1.89,Medium,Decision Pending,
PRE_ARB,NEED_RESPONSE,h5yiulkkas23487,2026-08-15 00:00:00,processing,2026-06-11 09:41:37,Item not received,102.83,7665434528917652425,Ahjkoiywebkbmxiykjsdfskjdhfsj,MASTERCARD,2026-06-01T01:58:37Z,51.52,IDR,Cancelled Recurring Transaction,OriginalRefund,0.0008,73586629619431142626551,Mastercard,528343XXXXXX2284,528343,Credit,Bank Central Asia,US,Item not received,2026-06-11,CBK-2026-200036,2026-08-15 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID577531502,TXN-20260601-58307308,CKO242173001372,191537,Card - Ecom,102.83,IDR,Settled,2026-06-03,N - No Match,M - Match,Y - Authenticated,Yes,17.45.181.142,iOS App,Yes,102.83,2026-06-12,ORD-202606-100255,2026-06-01 00:35:37,Mobile Game Coin Pack,Digital Goods,DIG-6315-RED,3,34.28,102.83,IDR,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-06-01,2026-06-01,2026-06-01,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),US,N/A,7665434528917652425,Priya Adeyemi,priya.adeyemi@mail.com,+1113250637,2025-01-12,Yes,Suspended,54,2062.26,38.19,ORD-202602-506637,2026-02-15,1,1,1.85,Medium,Decision Pending,
PRE_ARB,NEED_RESPONSE,viosdyui6890wek8,2026-08-16 00:00:00,fraud,2026-06-11 20:46:22,Unauthorized - ATO,71,7665434528917652426,Ahjsgfskjaksldwuleurhjhjdhfsj,KLARNA,2026-06-26T00:20:32Z,449.42,USD,Goods and Services not Received/Refused,<UNSET>,0.0047,79937124065965756924593,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,NG,Unauthorized - ATO,2026-06-11,CBK-2026-200037,2026-08-16 00:00:00,Yes,Stripe,Wells Fargo Bank N.A.,MID437351729,TXN-20260626-33842070,WLP452052994127,405605,BNPL,71,USD,Settled,2026-06-29,Z - Zip Only,N - No Match,A - Attempted,No,107.143.201.94,iOS App,No,0,,ORD-202606-100261,2026-06-25 23:46:32,Mechanical Keyboard,Electronics,ELC-4273-GRY,1,71,71,USD,Completed,Delivered,FedEx,FX7161887665,2026-06-28,2026-07-02,2026-07-01,Yes - Signature,James Wijaya,"7 Aminu Kano Crescent, Wuse II",Abuja,FCT,900288,NG,Yes,7665434528917652426,James Wijaya,james.wijaya@mail.com,+234831983367,2025-06-14,Yes,Suspended,9,873.18,97.02,ORD-202512-842776,2025-12-08,0,0,0,Low,Won,2026-06-22
PRE_ARB,NEED_RESPONSE,kmgjdshoiwer8798,2026-08-17 00:00:00,others,2026-06-12 20:46:25,Recurring payment,77.26,7665434528917652427,Ahjkoiywebkbmxiykjsdfskjdhfsj,AMEX,2026-06-29T19:01:48Z,48.23,NGN,DT-incorrect_charge,RefundToCredit,0.00563229018492178,35290965610143888993756,American Express,375773XXXXX2133,375773,Debit,DBS Bank,NG,Recurring payment,2026-06-12,CBK-2026-200038,2026-08-17 00:00:00,No,Worldpay,Worldpay Inc.,MID470405910,TXN-20260629-13296743,WLP422571583281,536181,Card - Ecom,77.26,NGN,Captured,2026-07-02,Z - Zip Only,N - No Match,A - Attempted,No,90.175.233.201,Android App,Yes,77.26,2026-06-17,ORD-202606-100267,2026-06-29 17:38:48,Electric Toothbrush,Beauty,BTY-9537-RED,3,25.75,77.26,NGN,Completed,Delivered,FedEx,BD8265834251,2026-07-02,2026-07-04,2026-07-03,Yes - OTP Confirmed,N/A,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652427,Chinedu Nakamura,chinedu.nakamura@yahoo.com,+234611275626,2024-12-29,Yes,Suspended,43,2666.43,62.01,ORD-202605-857065,2026-05-15,0,0,0,Low,Decision Pending,
PRE_ARB,NEED_RESPONSE,Agysjdkfshjdwewuier234990,2026-08-18 00:00:00,merchandise,2026-06-13 20:46:28,Processing error,19.100,7665434528917652428,Ahjsgfskjaksldwuleurhjhjdhfsj,DISCOVER,2026-06-24T08:19:11Z,61.55,IDR,DT-cancelation,"OriginalRefund, RefundToCredit",0.00573705000547108,93796603341918255371478,Discover,601150XXXXXX2100,601150,Prepaid,Guaranty Trust Bank,SG,Processing error,2026-06-13,CBK-2026-200039,2026-08-18 00:00:00,Yes,Nuvei,Nuvei Corporation,MID756387421,TXN-20260624-62686364,BRT482742712378,469082,Card - Wallet Token,19.1,IDR,Captured,2026-06-27,A - Address Only,M - Match,A - Attempted,No,183.68.160.31,Android App,Yes,19.1,2026-06-17,ORD-202606-100274,2026-06-24 07:27:11,Stainless Steel Cookware Set,Home & Kitchen,HNK-6003-BLK,1,19.1,19.1,IDR,Completed,Delivered,UPS,FX2984507492,2026-06-26,2026-07-03,2026-07-03,Yes - Signature,Sofia Sharma,"34 Orchard Road, #08-12",Singapore,Central,238867,SG,Yes,7665434528917652428,Sofia Sharma,sofia.sharma@outlook.com,+65500834337,2022-10-06,Yes,Under Review,7,1550.71,221.53,ORD-202512-507333,2025-12-06,0,0,0,Low,Decision Pending,
PRE_ARB,NEED_RESPONSE,65jkhhdsfhsweriu8,2026-08-19 00:00:00,authorization,2026-06-10 09:41:37,WP,26.33,7665434528917652429,Ahjkoiywebkbmxiykjsdfskjdhfsj,VISA,2026-07-03T22:53:49Z,37.01,USD,DT-product_not_received,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.00584180982602037,67677219034043842797881,Visa,488174XXXXXX3258,488174,Prepaid,Bank Mandiri,US,WP,2026-06-10,CBK-2026-200040,2026-08-19 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID932271276,TXN-20260703-82894477,CKO146200045145,896922,Card - Wallet Token,26.33,USD,Captured,2026-07-05,Y - Full Match,M - Match,Y - Authenticated,Yes,87.16.230.68,Desktop Web,Yes,26.33,2026-06-15,ORD-202607-100286,2026-07-03 21:47:49,Yoga Mat Pro,Sports,SPT-2425-RED,2,13.16,26.33,USD,Completed,Delivered,GIG Logistics,DH9012356988,2026-07-04,2026-07-09,2026-07-09,Yes - Signature,Amara Miller,2200 Post Oak Blvd,Houston,TX,77056,US,Yes,7665434528917652429,Amara Miller,amara.miller@yahoo.com,+1932828137,2023-04-24,Yes,Active,11,1807.74,164.34,ORD-202602-950083,2026-02-03,0,0,0,Low,Won,2026-07-03
